,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,summary
250,Adam Mason,KJ Apa,Sofia Carson,Craig Robinson,Thriller Romance Drama Mystery,songbird,KJ Apa Sofia Carson Craig Robinson Adam Mason Thriller Romance Drama Mystery
251,John Patrick Shanley,Emily Blunt,Jamie Dornan,Jon Hamm,Romance Drama,wild mountain thyme,Emily Blunt Jamie Dornan Jon Hamm John Patrick Shanley Romance Drama
252,Reginald Hudlin,Jay Reeves,Thaddeus J. Mixson,Corinne Foxx,Family Drama History,safety,Jay Reeves Thaddeus J. Mixson Corinne Foxx Reginald Hudlin Family Drama History
253,Tara Miele,Sienna Miller,Diego Luna,Beth Grant,Romance Drama,wander darkly,Sienna Miller Diego Luna Beth Grant Tara Miele Romance Drama
254,Julia Hart,Rachel Brosnahan,Arinzé Kene,Marsha Stephanie Blake,Drama Crime,i'm your woman,Rachel Brosnahan Arinzé Kene Marsha Stephanie Blake Julia Hart Drama Crime
255,Jamie Babbit,Drew Barrymore,Michael Zegen,T.J. Miller,Comedy,the stand in,Drew Barrymore Michael Zegen T.J. Miller Jamie Babbit Comedy
256,Adam Egypt Mortimer,Joe Manganiello,Skylan Brooks,Zolee Griggs,Action Thriller Crime Science Fiction,archenemy,Joe Manganiello Skylan Brooks Zolee Griggs Adam Egypt Mortimer Action Thriller Crime Science Fiction
257,Ekwa Msangi,Ntare Mwine,Zainab Jah,Jayme Lawson,Romance Drama,farewell amor,Ntare Mwine Zainab Jah Jayme Lawson Ekwa Msangi Romance Drama
258,Paul W. S. Anderson,Milla Jovovich,Tony Jaa,"Tip ""T.I."" Harris",Action Fantasy Adventure,monster hunter,"Milla Jovovich Tony Jaa Tip ""T.I."" Harris Paul W. S. Anderson Action Fantasy Adventure"
259,Ric Roman Waugh,Gerard Butler,Morena Baccarin,David Denman,Action Thriller Drama,greenland,Gerard Butler Morena Baccarin David Denman Ric Roman Waugh Action Thriller Drama
260,Deon Taylor,Hilary Swank,Michael Ealy,Mike Colter,Thriller,fatale,Hilary Swank Michael Ealy Mike Colter Deon Taylor Thriller
261,Liam O'Donnell,Lindsey Morgan,Jonathan Howard,Daniel Bernhardt,Science Fiction Action,skylines,Lindsey Morgan Jonathan Howard Daniel Bernhardt Liam O'Donnell Science Fiction Action
262,Shawn Linden,Devon Sawa,Camille Sullivan,Nick Stahl,Horror Thriller,hunter hunter,Devon Sawa Camille Sullivan Nick Stahl Shawn Linden Horror Thriller
264,Eugene Ashe,Tessa Thompson,Nnamdi Asomugha,Ryan Michelle Bathe,Drama Romance,sylvie's love,Tessa Thompson Nnamdi Asomugha Ryan Michelle Bathe Eugene Ashe Drama Romance
265,Patty Jenkins,Gal Gadot,Chris Pine,Kristen Wiig,Action Adventure Fantasy,wonder woman 1984,Gal Gadot Chris Pine Kristen Wiig Patty Jenkins Action Adventure Fantasy
266,Pete Docter,Jamie Foxx,Tina Fey,Graham Norton,Family Animation Music Comedy Fantasy,soul,Jamie Foxx Tina Fey Graham Norton Pete Docter Family Animation Music Comedy Fantasy
267,Robert Rodriguez,Priyanka Chopra Jonas,Pedro Pascal,YaYa Gosselin,Action Fantasy Family Comedy,we can be heroes,Priyanka Chopra Jonas Pedro Pascal YaYa Gosselin Robert Rodriguez Action Fantasy Family Comedy
269,Regina King,Kingsley Ben-Adir,Eli Goree,Aldis Hodge,Drama,one night in miami...,Kingsley Ben-Adir Eli Goree Aldis Hodge Regina King Drama
270,Emerald Fennell,Carey Mulligan,Bo Burnham,Alison Brie,Thriller Crime Drama,promising young woman,Carey Mulligan Bo Burnham Alison Brie Emerald Fennell Thriller Crime Drama
271,Kornél Mundruczó,Vanessa Kirby,Shia LaBeouf,Molly Parker,Drama,pieces of a woman,Vanessa Kirby Shia LaBeouf Molly Parker Kornél Mundruczó Drama
