,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,summary
155,Questlove,Questlove (director); Stevie Wonder,Nina Simone,Sly and the Family Stone,Music Documentary,summer of soul,Questlove (director); Stevie Wonder Nina Simone Sly and the Family Stone Questlove Music Documentary
156,S.K. Dale,Megan Fox,Eoin Macken,Callan Mulvey,Horror Thriller,till death,Megan Fox Eoin Macken Callan Mulvey S.K. Dale Horror Thriller
157,Craig Moss,Mackenzie Moss,Sadie Stanley,Mackenzie Ziegler,Science Fiction Thriller,let us in,Mackenzie Moss Sadie Stanley Mackenzie Ziegler Craig Moss Science Fiction Thriller
158,Cate Shortland,Scarlett Johansson,Florence Pugh,David Harbour,Action Adventure Thriller Science Fiction,black widow,Scarlett Johansson Florence Pugh David Harbour Cate Shortland Action Adventure Thriller Science Fiction
159,Leigh Janiak,Sadie Sink,Emily Rudd,Ryan Simpkins,Horror Mystery,fear street part two: 1978,Sadie Sink Emily Rudd Ryan Simpkins Leigh Janiak Horror Mystery
160,Carlos López Estrada,Tyris Winter,Marquesha Babers,Maia Mayor,Comedy Drama Music,summertime,Tyris Winter Marquesha Babers Maia Mayor Carlos López Estrada Comedy Drama Music
161,Navot Papushado,Karen Gillan,Lena Headey,Carla Gugino,Action Thriller Crime,gunpowder milkshake,Karen Gillan Lena Headey Carla Gugino Navot Papushado Action Thriller Crime
162,Malcolm D. Lee,LeBron James,Don Cheadle,Khris Davis,Animation Comedy Family Science Fiction,space jam: a new legacy,LeBron James Don Cheadle Khris Davis Malcolm D. Lee Animation Comedy Family Science Fiction
163,Adam Robitel,Taylor Russell,Logan Miller,Indya Moore,Horror Thriller Mystery,escape room: tournament of champions,Taylor Russell Logan Miller Indya Moore Adam Robitel Horror Thriller Mystery
164,Leigh Janiak,Kiana Madeira,Ashley Zukerman,Gillian Jacobs,Mystery Horror,fear street part three: 1666,Kiana Madeira Ashley Zukerman Gillian Jacobs Leigh Janiak Mystery Horror
165,Colin Schiffli,Alexandra Daddario,Diego Boneta,Justin Chatwin,Action Drama Romance Comedy Crime,die in a gunfight,Alexandra Daddario Diego Boneta Justin Chatwin Colin Schiffli Action Drama Romance Comedy Crime
166,Michael Sarnoski,Nicolas Cage,Alex Wolff,Adam Arkin,Drama Thriller,pig,Nicolas Cage Alex Wolff Adam Arkin Michael Sarnoski Drama Thriller
167,Mike Burns,Bruce Willis,Jaime King,Lala Kent,Crime Adventure Thriller,out of death,Bruce Willis Jaime King Lala Kent Mike Burns Crime Adventure Thriller
169,"Daryl Wein, Zoe Lister-Jones",Zoe Lister-Jones,Cailee Spaeny,Olivia Wilde,Science Fiction Thriller Mystery Action Adventure,how it ends,"Zoe Lister-Jones Cailee Spaeny Olivia Wilde Daryl Wein, Zoe Lister-Jones Science Fiction Thriller Mystery Action Adventure"
170,"Johane Matte, Andrew L. Schmidt, Franciso Ruiz Velasco",Emile Hirsch,Lexi Medrano,Charlie Saxton,Animation Fantasy Family Action Adventure Science Fiction,trollhunters: rise of the titans,"Emile Hirsch Lexi Medrano Charlie Saxton Johane Matte, Andrew L. Schmidt, Franciso Ruiz Velasco Animation Fantasy Family Action Adventure Science Fiction"
171,Robert Schwentke,Henry Golding,Andrew Koji,Úrsula Corberó,Action Adventure,snake eyes,Henry Golding Andrew Koji Úrsula Corberó Robert Schwentke Action Adventure
172,M. Night Shyamalan,Gael García Bernal,Vicky Krieps,Rufus Sewell,Mystery Thriller Horror,old,Gael García Bernal Vicky Krieps Rufus Sewell M. Night Shyamalan Mystery Thriller Horror
173,Reinaldo Marcus Green,Mark Wahlberg,Reid Miller,Connie Britton,Drama Adventure,joe bell,Mark Wahlberg Reid Miller Connie Britton Reinaldo Marcus Green Drama Adventure
174,Tanya Wexler,Tanya Wexler (director); Scott Wascha (screenwriter); Kate Beckinsale,Bobby Cannavale,Laverne Cox,Action Comedy,jolt,Tanya Wexler (director); Scott Wascha (screenwriter); Kate Beckinsale Bobby Cannavale Laverne Cox Tanya Wexler Action Comedy
175,Randall Emmett,Megan Fox,Bruce Willis,Emile Hirsch,Crime Thriller Action Mystery,midnight in the switchgrass,Megan Fox Bruce Willis Emile Hirsch Randall Emmett Crime Thriller Action Mystery
176,Peter Sattler,Ben Platt,Lola Kirke,Yvette Nicole Brown,Drama,broken diamonds,Ben Platt Lola Kirke Yvette Nicole Brown Peter Sattler Drama
179,Jaume Collet-Serra,Dwayne Johnson,Emily Blunt,Édgar Ramírez,Adventure Fantasy Comedy Action,jungle cruise,Dwayne Johnson Emily Blunt Édgar Ramírez Jaume Collet-Serra Adventure Fantasy Comedy Action
180,Kirk DeMicco,Lin-Manuel Miranda,Ynairaly Simo,Zoe Saldana,Animation Family Comedy,vivo,Lin-Manuel Miranda Ynairaly Simo Zoe Saldana Kirk DeMicco Animation Family Comedy
181,Tom McCarthy,Matt Damon,Camille Cottin,Abigail Breslin,Drama Crime Thriller,stillwater,Matt Damon Camille Cottin Abigail Breslin Tom McCarthy Drama Crime Thriller
182,David Lowery,Dev Patel,Alicia Vikander,Joel Edgerton,Drama Adventure Fantasy,the green knight,Dev Patel Alicia Vikander Joel Edgerton David Lowery Drama Adventure Fantasy
183,Edson Oda,Winston Duke,Zazie Beetz,Benedict Wong,Drama Fantasy,nine days,Winston Duke Zazie Beetz Benedict Wong Edson Oda Drama Fantasy
184,Trent O'Donnell,Jake Johnson,D'Arcy Carden,J.K. Simmons,Comedy Drama,ride the eagle,Jake Johnson D'Arcy Carden J.K. Simmons Trent O'Donnell Comedy Drama
185,Braden King,Philip Ettinger,Stacy Martin,Cosmo Jarvis,Drama,the evening hour,Philip Ettinger Stacy Martin Cosmo Jarvis Braden King Drama
188,James Gunn,Idris Elba,Margot Robbie,John Cena,Action Adventure Fantasy Comedy,the suicide squad,Idris Elba Margot Robbie John Cena James Gunn Action Adventure Fantasy Comedy
189,Chase Palmer,John Boyega,Olivia Cooke,Bill Skarsgård,Crime Drama,naked singularity,John Boyega Olivia Cooke Bill Skarsgård Chase Palmer Crime Drama
190,Pascual Sisto,Charlie Shotwell,Michael C. Hall,Jennifer Ehle,Drama Thriller,john and the hole,Charlie Shotwell Michael C. Hall Jennifer Ehle Pascual Sisto Drama Thriller
191,Scott Brignac,Hannah Kasulka,Luke Benward,Jude Demorest,Drama Action Thriller Crime,playing god,Hannah Kasulka Luke Benward Jude Demorest Scott Brignac Drama Action Thriller Crime
192,Todd Stephens,Udo Kier,Jennifer Coolidge,Linda Evans,Drama Science Fiction,swan song,Udo Kier Jennifer Coolidge Linda Evans Todd Stephens Drama Science Fiction
193,Nick Cannon,Nick Cannon,Chris Brown,Jaliyuh Manuel,Drama,she ball,Nick Cannon Chris Brown Jaliyuh Manuel Nick Cannon Drama
194,Vince Marcello,Joey King,Joel Courtney,Jacob Elordi,Romance Comedy,the kissing booth 3,Joey King Joel Courtney Jacob Elordi Vince Marcello Romance Comedy
196,Shawn Levy,Ryan Reynolds,Jodie Comer,Lil Rel Howery,Comedy Action Adventure Science Fiction,free guy,Ryan Reynolds Jodie Comer Lil Rel Howery Shawn Levy Comedy Action Adventure Science Fiction
197,Liesl Tommy,Jennifer Hudson,Forest Whitaker,Marlon Wayans,Music Drama History,respect,Jennifer Hudson Forest Whitaker Marlon Wayans Liesl Tommy Music Drama History
198,Ferdinando Cito Filomarino,John David Washington,Boyd Holbrook,Vicky Krieps,Action Adventure Crime Drama Thriller Mystery,beckett,John David Washington Boyd Holbrook Vicky Krieps Ferdinando Cito Filomarino Action Adventure Crime Drama Thriller Mystery
199,Rodo Sayagues,Stephen Lang,Brendan Sexton III,Madelyn Grace,Thriller Horror,don't breathe 2,Stephen Lang Brendan Sexton III Madelyn Grace Rodo Sayagues Thriller Horror
200,Sian Heder,Emilia Jones,Eugenio Derbez,Troy Kotsur,Drama Music Romance,coda,Emilia Jones Eugenio Derbez Troy Kotsur Sian Heder Drama Music Romance
202,Cal Brunker,Iain Armitage,Marsai Martin,Ron Pardo,Animation Family Adventure Comedy,paw patrol: the movie,Iain Armitage Marsai Martin Ron Pardo Cal Brunker Animation Family Adventure Comedy
203,Lisa Joy,Hugh Jackman,Rebecca Ferguson,Thandiwe Newton,Science Fiction Thriller Mystery Romance,reminiscence,Hugh Jackman Rebecca Ferguson Thandiwe Newton Lisa Joy Science Fiction Thriller Mystery Romance
204,Martin Campbell,Michael Keaton,Maggie Q,Samuel L. Jackson,Action Crime Thriller,the protégé,Michael Keaton Maggie Q Samuel L. Jackson Martin Campbell Action Crime Thriller
205,Brian Andrew Mendoza,Jason Momoa,Isabela Merced,Manuel Garcia-Rulfo,Action,sweet girl,Jason Momoa Isabela Merced Manuel Garcia-Rulfo Brian Andrew Mendoza Action
206,Dave Needham,Dave Needham (director); Asher Bishop,David Tennant,Michelle Gomez,Animation Family Comedy Music Fantasy,the loud house movie,Dave Needham (director); Asher Bishop David Tennant Michelle Gomez Dave Needham Animation Family Comedy Music Fantasy
207,David Bruckner,Rebecca Hall,Sarah Goldberg,Evan Jonigkeit,Horror Thriller,the night house,Rebecca Hall Sarah Goldberg Evan Jonigkeit David Bruckner Horror Thriller
208,Sean Penn,Dylan Penn,Sean Penn,Katheryn Winnick,Drama Thriller,flag day,Dylan Penn Sean Penn Katheryn Winnick Sean Penn Drama Thriller
209,Dash Shaw,Lake Bell,Michael Cera,Angeliki Papoulia,Animation Fantasy,cryptozoo,Lake Bell Michael Cera Angeliki Papoulia Dash Shaw Animation Fantasy
210,Janell Shirtcliff,Josie Ho,Bella Thorne,Gavin Rossdale,Crime Comedy Thriller,habit,Josie Ho Bella Thorne Gavin Rossdale Janell Shirtcliff Crime Comedy Thriller
211,Neill Blomkamp,Carly Pope,Chris William Martin,Michael Rogers,Horror Thriller,demonic,Carly Pope Chris William Martin Michael Rogers Neill Blomkamp Horror Thriller
212,Eddie Arya,Caroline McQuade,Kenneth Trujillo,Wassim Hawat,Drama History,risen,Caroline McQuade Kenneth Trujillo Wassim Hawat Eddie Arya Drama History
213,Kwang Il Han,Theo James,Lara Pulver,Graham McTavish,Animation Action Fantasy,the witcher: nightmare of the wolf,Theo James Lara Pulver Graham McTavish Kwang Il Han Animation Action Fantasy
214,Angel Kristi Williams,Kofi Siriboe,Yootha Wong-Loi-Sing,Blair Underwood,Romance Drama,really love,Kofi Siriboe Yootha Wong-Loi-Sing Blair Underwood Angel Kristi Williams Romance Drama
215,Nia DaCosta,Yahya Abdul-Mateen II,Teyonah Parris,Nathan Stewart-Jarrett,Horror Thriller,candyman,Yahya Abdul-Mateen II Teyonah Parris Nathan Stewart-Jarrett Nia DaCosta Horror Thriller
216,Clay Tarver,John Cena,Lil Rel Howery,Yvonne Orji,Comedy,vacation friends,John Cena Lil Rel Howery Yvonne Orji Clay Tarver Comedy
217,Mark Waters,Addison Rae,Tanner Buchanan,Madison Pettis,Comedy Romance,he's all that,Addison Rae Tanner Buchanan Madison Pettis Mark Waters Comedy Romance
218,Amber Sealey,Elijah Wood,Luke Kirby,Aleksa Palladino,Crime Drama History,no man of god,Elijah Wood Luke Kirby Aleksa Palladino Amber Sealey Crime Drama History
219,Vibeke Muasya,Vibeke Muasya (director); Siobhan Fallon Hogan (screenplay),Siobhan Fallon Hogan,Robert Patrick,Thriller Drama Horror Mystery,rushed,Vibeke Muasya (director); Siobhan Fallon Hogan (screenplay) Siobhan Fallon Hogan Robert Patrick Vibeke Muasya Thriller Drama Horror Mystery
220,Stephen Herek,Victoria Justice,Midori Francis,Timothy Renouf,Fantasy Comedy Drama,afterlife of the party,Victoria Justice Midori Francis Timothy Renouf Stephen Herek Fantasy Comedy Drama
221,Destin Daniel Cretton,Simu Liu,Awkwafina,Meng'er Zhang,Action Adventure Fantasy,shang-chi and the legend of the ten rings,Simu Liu Awkwafina Meng'er Zhang Destin Daniel Cretton Action Adventure Fantasy
222,"Kay Cannon (director/screenwriter); Camila Cabello, Idina Menzel, Nicholas Galitzine, Minnie Driver, Pierce Brosnan, Billy Porter",Kay Cannon (director/screenwriter); Camila Cabello,Idina Menzel,Nicholas Galitzine,Fantasy Romance Comedy,cinderella,"Kay Cannon (director/screenwriter); Camila Cabello Idina Menzel Nicholas Galitzine Kay Cannon (director/screenwriter); Camila Cabello, Idina Menzel, Nicholas Galitzine, Minnie Driver, Pierce Brosnan, Billy Porter Fantasy Romance Comedy"
223,Sara Colangelo,Michael Keaton,Stanley Tucci,Amy Ryan,Drama History,worth,Michael Keaton Stanley Tucci Amy Ryan Sara Colangelo Drama History
224,Michele Civetta,Shea Whigham,Olivia Munn,Frank Grillo,Science Fiction,the gateway,Shea Whigham Olivia Munn Frank Grillo Michele Civetta Science Fiction
225,"Lyle Mitcell Corbine, Jr.",Michael Greyeyes,Chaske Spencer,Jesse Eisenberg,Thriller,wild indian,"Michael Greyeyes Chaske Spencer Jesse Eisenberg Lyle Mitcell Corbine, Jr. Thriller"
226,Sean King O'Grady,Sean King O'Grady (director); Max Booth III (screenwriter); Sierra McCormick,Vinessa Shaw,Pat Healy,Horror Thriller,we need to do something,Sean King O'Grady (director); Max Booth III (screenwriter); Sierra McCormick Vinessa Shaw Pat Healy Sean King O'Grady Horror Thriller
227,Cedric Nicolas-Troyan,Mary Elizabeth Winstead,Miku Martineau,Woody Harrelson,Action Thriller,kate,Mary Elizabeth Winstead Miku Martineau Woody Harrelson Cedric Nicolas-Troyan Action Thriller
228,Jonathan Butterell,Max Harwood,Sarah Lancashire,Lauren Patel,Music Drama Comedy,everybody's talking about jamie,Max Harwood Sarah Lancashire Lauren Patel Jonathan Butterell Music Drama Comedy
229,James Wan,Annabelle Wallis,Maddie Hasson,George Young,Horror Thriller Mystery Crime,malignant,Annabelle Wallis Maddie Hasson George Young James Wan Horror Thriller Mystery Crime
230,"Aron Gaudet, Gita Pullapilly (directors/screenplay); Kristen Bell, Kirby Howell-Baptiste, Paul Walter Hauser, Bebe Rexha, Vince Vaughn",Kristen Bell,Kirby Howell-Baptiste,Paul Walter Hauser,Comedy Crime,queenpins,"Kristen Bell Kirby Howell-Baptiste Paul Walter Hauser Aron Gaudet, Gita Pullapilly (directors/screenplay); Kristen Bell, Kirby Howell-Baptiste, Paul Walter Hauser, Bebe Rexha, Vince Vaughn Comedy Crime"
231,Paul Schrader,Oscar Isaac,Tiffany Haddish,Tye Sheridan,Drama Thriller Crime,the card counter,Oscar Isaac Tiffany Haddish Tye Sheridan Paul Schrader Drama Thriller Crime
232,Christopher Ashley,Petrina Bromley,Jenn Colella,De'Lon Grant,Comedy Drama,come from away,Petrina Bromley Jenn Colella De'Lon Grant Christopher Ashley Comedy Drama
233,Michael Mohan,Sydney Sweeney,Justice Smith,Ben Hardy,Thriller,the voyeurs,Sydney Sweeney Justice Smith Ben Hardy Michael Mohan Thriller
234,John Pollono,Jon Bernthal,Shea Whigham,Jordana Spiro,Drama Thriller,small engine repair,Jon Bernthal Shea Whigham Jordana Spiro John Pollono Drama Thriller
235,Natalie Morales,Natalie Morales (director/screenplay),Mark Duplass (screenplay),Natalie Morales,Drama Comedy,language lessons,Natalie Morales (director/screenplay) Mark Duplass (screenplay) Natalie Morales Natalie Morales Drama Comedy
236,Rick Altizer,Rick Altizer (director); Sherman Smith,Tony Evans,Steven Kendrick,Documentary,show me the father,Rick Altizer (director); Sherman Smith Tony Evans Steven Kendrick Rick Altizer Documentary
237,Michael Feifer,Jay Pickett,Peter Facinelli,Tom Skerritt,Western Action,catch the bullet,Jay Pickett Peter Facinelli Tom Skerritt Michael Feifer Western Action
238,Jonah Feingold,Francesca Reale,Jaboukie Young-White,Catherine Cohen,Comedy Romance,dating and new york,Francesca Reale Jaboukie Young-White Catherine Cohen Jonah Feingold Comedy Romance
239,"Scott B. Hansen, Desiree Connell",Zach Galligan,Derek Russo,Corey Taylor,Horror,bad candy,"Zach Galligan Derek Russo Corey Taylor Scott B. Hansen, Desiree Connell Horror"
240,Kevin T. Morales,Bridget McGarry,Victoria Leigh,Okieriete Onaodowan,Comedy Drama,generation wrecks,Bridget McGarry Victoria Leigh Okieriete Onaodowan Kevin T. Morales Comedy Drama
241,David Yarovesky,Winslow Fegley,Lidya Jewett,Krysten Ritter,Fantasy Family Horror,nightbooks,Winslow Fegley Lidya Jewett Krysten Ritter David Yarovesky Fantasy Family Horror
242,Theodore Melfi,Theodore Melfi (director); Matt Harris (screenpaly); Melissa McCarthy,Chris O'Dowd,Timothy Olyphant,Comedy Drama,the starling,Theodore Melfi (director); Matt Harris (screenpaly); Melissa McCarthy Chris O'Dowd Timothy Olyphant Theodore Melfi Comedy Drama
243,Michael Showalter,Jessica Chastain,Andrew Garfield,Cherry Jones,Drama History,the eyes of tammy faye,Jessica Chastain Andrew Garfield Cherry Jones Michael Showalter Drama History
244,Clint Eastwood,Clint Eastwood,Dwight Yoakam,Eduardo Minett,Western Drama,cry macho,Clint Eastwood Dwight Yoakam Eduardo Minett Clint Eastwood Western Drama
245,Joe Carnahan,Gerard Butler,Frank Grillo,Alexis Louder,Action Thriller Crime,copshop,Gerard Butler Frank Grillo Alexis Louder Joe Carnahan Action Thriller Crime
246,Justin Chon,Justin Chon,Alicia Vikander,Mark O'Brien,Drama,blue bayou,Justin Chon Alicia Vikander Mark O'Brien Justin Chon Drama
247,Sion Sono,Nicolas Cage,Sofia Boutella,Bill Moseley,Action Horror Science Fiction Thriller,prisoners of the ghostland,Nicolas Cage Sofia Boutella Bill Moseley Sion Sono Action Horror Science Fiction Thriller
248,Lina Roessler,Michael Caine,Aubrey Plaza,Scott Speedman,Drama Comedy,best sellers,Michael Caine Aubrey Plaza Scott Speedman Lina Roessler Drama Comedy
249,"Justin Long, Christian Long (directors/screenplay); Melanie Lynskey, Judy Greer, Justin Long, Ryan Phillippe, Luis Guzmán",Melanie Lynskey,Judy Greer,Justin Long,Comedy Fantasy,lady of the manor,"Melanie Lynskey Judy Greer Justin Long Justin Long, Christian Long (directors/screenplay); Melanie Lynskey, Judy Greer, Justin Long, Ryan Phillippe, Luis Guzmán Comedy Fantasy"
250,Bill Benz,Annie Clark,Carrie Brownstein,Dakota Johnson,Comedy Drama Horror,the nowhere inn,Annie Clark Carrie Brownstein Dakota Johnson Bill Benz Comedy Drama Horror
251,"Betsy West, Julie Cohen",Betsy West,Julie Cohen (director); Talleah Bridges McMahon,Julie Cohen,Documentary,my name is pauli murray,"Betsy West Julie Cohen (director); Talleah Bridges McMahon Julie Cohen Betsy West, Julie Cohen Documentary"
252,David Midell,Frankie Faison,Steve O'Connell,Enrico Natale,Drama,the killing of kenneth chamberlain,Frankie Faison Steve O'Connell Enrico Natale David Midell Drama
253,Adam Salky,Freida Pinto,Logan Marshall-Green,Robert John Burke,Thriller,intrusion,Freida Pinto Logan Marshall-Green Robert John Burke Adam Salky Thriller
254,Stephen Chbosky,Ben Platt,Amy Adams,Julianne Moore,Drama,dear evan hansen,Ben Platt Amy Adams Julianne Moore Stephen Chbosky Drama
255,Antoine Fuqua,Jake Gyllenhaal,Ethan Hawke,Riley Keough,Drama Crime Thriller,the guilty,Jake Gyllenhaal Ethan Hawke Riley Keough Antoine Fuqua Drama Crime Thriller
256,"Robert Cullen, Jose Ucha",Vanessa Hudgens,Kimiko Glenn,James Marsden,Animation Family Fantasy Comedy Music Adventure,my little pony: a new generation,"Vanessa Hudgens Kimiko Glenn James Marsden Robert Cullen, Jose Ucha Animation Family Fantasy Comedy Music Adventure"
257,Sarah Adina Smith,Kristine Froseth,Diana Silvers,Jacqueline Bisset,Drama,birds of paradise,Kristine Froseth Diana Silvers Jacqueline Bisset Sarah Adina Smith Drama
258,Castille Landon,Josephine Langford,Hero Fiennes Tiffin,Louise Lombard,Romance Drama,after we fell,Josephine Langford Hero Fiennes Tiffin Louise Lombard Castille Landon Romance Drama
259,Andy Serkis,Tom Hardy,Michelle Williams,Naomie Harris,Science Fiction Action Comedy,venom: let there be carnage,Tom Hardy Michelle Williams Naomie Harris Andy Serkis Science Fiction Action Comedy
260,Alan Taylor,Michael Gandolfini,Alessandro Nivola,Leslie Odom Jr.,Drama Crime,the many saints of newark,Michael Gandolfini Alessandro Nivola Leslie Odom Jr. Alan Taylor Drama Crime
261,"Conrad Vernon, Greg Tiernan",Oscar Isaac,Charlize Theron,Chloë Grace Moretz,Animation Comedy Family,the addams family 2,"Oscar Isaac Charlize Theron Chloë Grace Moretz Conrad Vernon, Greg Tiernan Animation Comedy Family"
262,Gigi Saul Guerrero,L. Scott Caldwell,Adriana Barraza,Joshua Caleb Johnson,Thriller,bingo hell,L. Scott Caldwell Adriana Barraza Joshua Caleb Johnson Gigi Saul Guerrero Thriller
263,Maritte Lee Go,Ashja Cooper,Theodus Crane,Kenneisha Thompson,Horror Thriller,black as night,Ashja Cooper Theodus Crane Kenneisha Thompson Maritte Lee Go Horror Thriller
264,Potsy Ponciroli,Tim Blake Nelson,Scott Haze,Gavin Lewis,Western Thriller,old henry,Tim Blake Nelson Scott Haze Gavin Lewis Potsy Ponciroli Western Thriller
265,Erwin brothers,Amy Grant,Michael W. Smith,TobyMac,Documentary Music,the jesus music,Amy Grant Michael W. Smith TobyMac Erwin brothers Documentary Music
266,Karen Cinorre,Grace Van Patten,Mia Goth,Havana Rose Liu,Fantasy Drama Action,mayday,Grace Van Patten Mia Goth Havana Rose Liu Karen Cinorre Fantasy Drama Action
267,Vance Null,David A. R. White,Antonio Sabàto Jr.,Francesca Battistelli,Drama,god's not dead: we the people,David A. R. White Antonio Sabàto Jr. Francesca Battistelli Vance Null Drama
269,Cary Joji Fukunaga,Daniel Craig,Rami Malek,Léa Seydoux,Adventure Action Thriller,no time to die,Daniel Craig Rami Malek Léa Seydoux Cary Joji Fukunaga Adventure Action Thriller
270,Fran Kranz,Reed Birney,Ann Dowd,Jason Isaacs,Drama Crime History,mass,Reed Birney Ann Dowd Jason Isaacs Fran Kranz Drama Crime History
271,"Axelle Carolyn (director/screenwriter); Barbara Hershey, Bruce Davison, Stacey Travis, Ciera Payton, Jill Larson, Mark Steger",Axelle Carolyn (director/screenwriter); Barbara Hershey,Bruce Davison,Stacey Travis,Comedy Fantasy,the manor,"Axelle Carolyn (director/screenwriter); Barbara Hershey Bruce Davison Stacey Travis Axelle Carolyn (director/screenwriter); Barbara Hershey, Bruce Davison, Stacey Travis, Ciera Payton, Jill Larson, Mark Steger Comedy Fantasy"
273,David Gordon Green,Jamie Lee Curtis,Judy Greer,Andi Matichak,Horror Thriller Crime,halloween kills,Jamie Lee Curtis Judy Greer Andi Matichak David Gordon Green Horror Thriller Crime
274,Ridley Scott,Matt Damon,Adam Driver,Jodie Comer,Drama History,the last duel,Matt Damon Adam Driver Jodie Comer Ridley Scott Drama History
275,Justin Corsbie,Michael Dorman,Sophia Bush,Dermot Mulroney,Drama Thriller Music Romance,hard luck love song,Michael Dorman Sophia Bush Dermot Mulroney Justin Corsbie Drama Thriller Music Romance
277,"David Silverman, Raymond S. Persi",Adam DeVine,Rachel Bloom,Zazie Beetz,Animation Comedy Science Fiction Family,extinct,"Adam DeVine Rachel Bloom Zazie Beetz David Silverman, Raymond S. Persi Animation Comedy Science Fiction Family"
278,Adam Randall,Jorge Lendeborg Jr.,Debby Ryan,Lucy Fry,Thriller Horror,night teeth,Jorge Lendeborg Jr. Debby Ryan Lucy Fry Adam Randall Thriller Horror
279,Denis Villeneuve,Timothée Chalamet,Rebecca Ferguson,Oscar Isaac,Action Adventure Drama Science Fiction,dune,Timothée Chalamet Rebecca Ferguson Oscar Isaac Denis Villeneuve Action Adventure Drama Science Fiction
280,"Sarah Smith, Jean-Philippe Vine",Zach Galifianakis,Jack Dylan Grazer,Olivia Colman,Animation Science Fiction Family Comedy,ron's gone wrong,"Zach Galifianakis Jack Dylan Grazer Olivia Colman Sarah Smith, Jean-Philippe Vine Animation Science Fiction Family Comedy"
281,Wes Anderson,Benicio del Toro,Adrien Brody,Tilda Swinton,Comedy Drama Romance,the french dispatch,Benicio del Toro Adrien Brody Tilda Swinton Wes Anderson Comedy Drama Romance
282,Will Sharpe,Benedict Cumberbatch,Claire Foy,Andrea Riseborough,Drama History,the electrical life of louis wain,Benedict Cumberbatch Claire Foy Andrea Riseborough Will Sharpe Drama History
283,Rebecca Hall,Tessa Thompson,Ruth Negga,André Holland,Drama,passing,Tessa Thompson Ruth Negga André Holland Rebecca Hall Drama
284,Edgar Wright,Thomasin McKenzie,Anya Taylor-Joy,Matt Smith,Horror Drama Thriller Mystery,last night in soho,Thomasin McKenzie Anya Taylor-Joy Matt Smith Edgar Wright Horror Drama Thriller Mystery
285,Scott Cooper,Keri Russell,Jesse Plemons,Jeremy T. Thomas,Horror Mystery,antlers,Keri Russell Jesse Plemons Jeremy T. Thomas Scott Cooper Horror Mystery
286,Amy Koppelman,Amanda Seyfried,Finn Wittrock,Jennifer Carpenter,Drama,a mouthful of air,Amanda Seyfried Finn Wittrock Jennifer Carpenter Amy Koppelman Drama
287,Matthias Schweighöfer,Matthias Schweighöfer,Nathalie Emmanuel,Guz Khan,Action Adventure Crime Thriller,army of thieves,Matthias Schweighöfer Nathalie Emmanuel Guz Khan Matthias Schweighöfer Action Adventure Crime Thriller
288,William Eubank,Emily Bader,Roland Buck III,Dan Lippert,Horror Mystery,paranormal activity: next of kin,Emily Bader Roland Buck III Dan Lippert William Eubank Horror Mystery
289,Jeymes Samuel,Jonathan Majors,Idris Elba,Zazie Beetz,Western,the harder they fall,Jonathan Majors Idris Elba Zazie Beetz Jeymes Samuel Western
290,Chloé Zhao,Gemma Chan,Richard Madden,Kumail Nanjiani,Fantasy Science Fiction Action Adventure,eternals,Gemma Chan Richard Madden Kumail Nanjiani Chloé Zhao Fantasy Science Fiction Action Adventure
291,Miguel Sapochnik,Tom Hanks,Caleb Landry Jones,Laura Harrier,Science Fiction Drama Adventure,finch,Tom Hanks Caleb Landry Jones Laura Harrier Miguel Sapochnik Science Fiction Drama Adventure
292,Pablo Larraín,Kristen Stewart,Timothy Spall,Sean Harris,Drama History,spencer,Kristen Stewart Timothy Spall Sean Harris Pablo Larraín Drama History
293,Hernán Jiménez,Nina Dobrev,Jimmy O. Yang,Darren Barnet,Comedy,love hard,Nina Dobrev Jimmy O. Yang Darren Barnet Hernán Jiménez Comedy
294,"Jim Cummings, PJ McCabe (directors/screenplay); Jim Cummings, Virginia Newcomb, PJ McCabe",Jim Cummings,Virginia Newcomb,PJ McCabe,Horror Thriller,the beta test,"Jim Cummings Virginia Newcomb PJ McCabe Jim Cummings, PJ McCabe (directors/screenplay); Jim Cummings, Virginia Newcomb, PJ McCabe Horror Thriller"
295,Walt Becker,Jack Whitehall,Darby Camp,Tony Hale,Family Animation Comedy,clifford the big red dog,Jack Whitehall Darby Camp Tony Hale Walt Becker Family Animation Comedy
296,Rawson Marshall Thurber,Dwayne Johnson,Ryan Reynolds,Gal Gadot,Action Thriller,red notice,Dwayne Johnson Ryan Reynolds Gal Gadot Rawson Marshall Thurber Action Thriller
297,Kenneth Branagh,Caitriona Balfe,Judi Dench,Jamie Dornan,Drama,belfast,Caitriona Balfe Judi Dench Jamie Dornan Kenneth Branagh Drama
298,Lin-Manuel Miranda,Lin-Manuel Miranda (director); Steven Levenson (sceenplay); Andrew Garfield,Alexandra Shipp,Vanessa Hudgens,Drama Music,"tick, tick... boom!",Lin-Manuel Miranda (director); Steven Levenson (sceenplay); Andrew Garfield Alexandra Shipp Vanessa Hudgens Lin-Manuel Miranda Drama Music
299,Dan Mazer,Ellie Kemper,Rob Delaney,Archie Yates,Family Comedy,home sweet home alone,Ellie Kemper Rob Delaney Archie Yates Dan Mazer Family Comedy
300,Jane Campion,Benedict Cumberbatch,Kirsten Dunst,Jesse Plemons,Western Drama,the power of the dog,Benedict Cumberbatch Kirsten Dunst Jesse Plemons Jane Campion Western Drama
